,number,l_p_l_lo_x,l_p_l_lo_y,l_p_l_re_x,l_p_l_re_y,l_p_r_lo_x,l_p_r_lo_y,l_p_r_re_x,l_p_r_re_y,l_h_l_x,l_h_l_y,l_h_r_x,l_h_r_y,r_p_l_lo_x,r_p_l_lo_y,r_p_l_re_x,r_p_l_re_y,r_p_r_lo_x,r_p_r_lo_y,r_p_r_re_x,r_p_r_re_y,r_h_l_x,r_h_l_y,r_h_r_x,r_h_r_y,3d_p_x,3d_p_y,3d_p_z,3d_h_l_x,3d_h_l_y,3d_h_l_z,3d_h_r_x,3d_h_r_y,3d_h_r_z
0,1765,1350.59,373.13,1350.59,373.13,1370.61,372.21,1370.61,372.21,314.11,668.42,2113.22,544.96,1389.25,473.25,1389.25,473.25,1406.75,474.75,1406.75,474.75,301.05,611.25,2196.78,710.37,653.57,4186.78,3469.26,-249.72,4472.89,3409.67,1275.75,4306.61,3249.62
0,1766,1353.23,372.85,1353.23,372.85,1373.26,371.7,1373.26,371.7,313.79,667.82,2112.74,544.59,1391.25,473.25,1391.25,473.25,1408.75,474.75,1408.75,474.75,301.31,611.29,2196.74,710.73,654.93,4186.4,3466.46,-249.74,4472.5,3411.3,1276.14,4306.3,3251.0
0,1767,1355.9,374.07,1355.9,374.07,1376.39,372.24,1376.39,372.24,314.68,669.09,2113.85,545.87,1399.36,448.53,1399.36,448.53,1416.53,448.64,1416.53,448.64,301.67,611.26,2193.55,713.86,663.66,4186.44,3480.84,-249.22,4473.42,3409.87,1270.03,4307.44,3239.52
0,1768,1358.66,374.45,1358.66,374.45,1379.42,372.37,1379.42,372.37,314.74,669.87,2114.2,546.46,1402.58,445.64,1402.45,437.65,1419.58,445.62,1421.0,437.91,302.16,611.63,2192.91,714.1,667.17,4186.43,3482.59,-248.95,4474.08,3411.1,1268.71,4307.96,3236.84
0,1769,1361.77,373.45,1361.77,373.45,1382.09,372.21,1382.09,372.21,315.18,669.71,2114.76,546.68,1407.64,437.27,1407.64,437.27,1423.57,438.43,1423.57,438.43,302.27,612.31,2192.55,714.45,670.78,4185.68,3484.66,-248.76,4473.9,3410.25,1267.6,4308.14,3234.23
0,1770,1365.14,372.97,1365.14,372.97,1384.89,372.31,1384.89,372.31,314.8,670.96,2114.21,547.41,1410.7,437.45,1410.7,437.45,1426.72,438.5,1426.72,438.5,302.7,613.0,2192.52,714.62,673.34,4185.38,3483.71,-248.65,4474.99,3412.5,1268.12,4308.78,3235.84
0,1771,1367.95,373.21,1367.95,373.21,1388.05,372.21,1388.05,372.21,315.01,670.72,2114.31,546.94,1413.92,437.66,1413.92,437.66,1430.06,438.27,1430.06,438.27,303.09,612.6,2193.04,714.43,676.16,4185.28,3483.59,-248.42,4474.82,3413.02,1268.82,4308.36,3236.84
0,1772,1370.51,373.23,1370.51,373.23,1390.89,371.5,1390.89,371.5,314.65,669.81,2114.55,546.38,1414.98,437.78,1414.98,437.78,1433.17,439.02,1433.17,439.02,303.49,612.61,2193.6,714.22,677.59,4184.95,3480.83,-248.4,4474.2,3415.16,1269.46,4307.87,3237.51
0,1773,1373.55,373.2,1373.55,373.2,1393.63,371.91,1393.63,371.91,315.32,670.96,2114.48,545.63,1417.43,439.57,1417.43,439.57,1436.63,440.32,1436.63,440.32,303.67,612.27,2193.99,713.93,680.06,4184.99,3480.06,-248.05,4475.04,3413.81,1270.09,4307.22,3238.67
0,1774,1376.8,372.69,1376.8,372.69,1396.69,372.44,1396.69,372.44,314.51,670.37,2114.15,545.54,1423.95,438.42,1423.95,438.42,1439.73,440.48,1439.73,440.48,303.97,612.65,2194.25,714.05,684.76,4184.67,3484.03,-248.22,4474.72,3416.89,1270.81,4307.14,3240.32
0,1775,1379.68,372.85,1379.68,372.85,1399.12,372.79,1399.12,372.79,314.59,669.89,2114.35,545.23,1427.03,438.84,1427.03,438.84,1442.79,440.17,1442.79,440.17,304.16,612.42,2194.35,714.03,687.48,4184.73,3484.39,-248.13,4474.36,3417.23,1270.77,4306.86,3239.96
0,1776,1382.28,372.96,1382.28,372.96,1402.09,372.53,1402.09,372.53,314.71,670.46,2114.32,546.18,1430.14,438.96,1430.14,438.96,1446.2,440.05,1446.2,440.05,304.21,612.01,2194.06,714.15,690.37,4184.49,3484.92,-248.04,4474.79,3417.04,1270.4,4307.69,3239.37
0,1777,1385.38,372.26,1385.38,372.26,1405.57,371.42,1405.57,371.42,315.09,669.95,2114.62,546.06,1433.44,439.16,1433.44,439.16,1449.32,440.36,1449.32,440.36,304.28,611.91,2193.8,714.32,692.93,4183.56,3483.55,-247.91,4474.35,3416.19,1269.69,4307.58,3237.78
0,1778,1388.65,372.65,1388.65,372.65,1408.85,371.45,1408.85,371.45,315.31,670.12,2114.66,546.87,1436.31,439.56,1436.31,439.56,1452.15,440.64,1452.15,440.64,304.19,611.51,2193.83,714.47,695.08,4183.67,3481.13,-247.86,4474.44,3415.35,1269.72,4308.29,3237.72
0,1779,1391.54,372.62,1391.54,372.62,1411.73,371.41,1411.73,371.41,315.42,669.93,2115.25,546.74,1439.57,439.86,1439.57,439.86,1455.39,440.73,1455.39,440.73,304.23,611.46,2193.83,714.55,697.91,4183.48,3481.25,-247.82,4474.28,3415.14,1269.16,4308.16,3235.94
0,1780,1394.11,371.86,1394.11,371.86,1414.3,370.58,1414.3,370.58,315.49,668.54,2114.45,546.56,1442.49,440.28,1442.49,440.28,1458.58,440.73,1458.58,440.73,304.38,611.08,2193.87,714.81,700.6,4182.61,3481.83,-247.79,4473.2,3415.4,1269.98,4308.02,3238.48
0,1781,1396.87,372.2,1396.87,372.2,1416.8,371.2,1416.8,371.2,315.54,668.41,2115.18,547.13,1444.99,440.95,1444.99,440.95,1461.41,441.24,1461.41,441.24,303.99,610.54,2194.14,714.72,702.81,4182.93,3481.03,-247.95,4473.05,3414.13,1269.72,4308.49,3236.9
0,1782,1399.51,372.27,1399.51,372.27,1419.46,371.37,1419.46,371.37,315.49,667.82,2115.96,547.13,1447.8,441.08,1447.8,441.08,1464.06,441.4,1464.06,441.4,303.76,610.35,2194.1,714.77,705.09,4182.92,3480.35,-248.09,4472.56,3413.64,1268.9,4308.48,3234.42
0,1783,1401.99,371.91,1401.99,371.91,1422.39,370.45,1422.39,370.45,316.14,667.02,2115.39,547.23,1450.93,440.7,1450.93,440.7,1466.98,441.5,1466.98,441.5,303.89,610.57,2193.78,715.26,707.69,4182.2,3480.39,-247.85,4471.87,3412.25,1268.96,4308.58,3235.38
0,1784,1404.41,372.76,1404.41,372.76,1424.93,371.07,1424.93,371.07,316.08,667.89,2115.51,547.27,1453.87,440.82,1453.87,440.82,1470.1,442.3,1470.1,442.3,303.86,610.3,2193.96,715.17,710.46,4182.69,3481.18,-247.85,4472.55,3412.33,1269.12,4308.61,3235.45
